"","game_id_string","year_released","romhack","number_platforms","genre","developer","publisher","discord","require_video","emulators_allowed","number_of_runs"
"1","2685e76p","2012","FALSE","4","pl2ke21x","4ep80o6r","z6qzq769","TRUE","TRUE","FALSE","397"
"2","2685n56p","2010","TRUE","1",NA,NA,NA,"TRUE","TRUE","FALSE","168"
"3","2685v96p","1999","FALSE","3","o75mrgn3","5k62lozx","kd6jyg6p","TRUE","TRUE","TRUE","146"
"4","2687w5dp","1994","FALSE","1","yq5wvrng",NA,NA,"TRUE","TRUE","TRUE","47"
"5","2689591p","2013","FALSE","2","p92dvm2l","4zwww0zk","kr21qvne","TRUE","TRUE","FALSE","2946"
"6","268e25y6","2019","FALSE","3",NA,"nerlp1ej","93nkme6w","TRUE","TRUE","TRUE","31"
"7","268e2gk6","2019","FALSE","1","92ddpm2l","rzjgkozl",NA,"TRUE","TRUE","TRUE","83"
"8","268e4r56","2006","FALSE","1","qdnqkn8k","qe5lgk6v","4np8y2rl","TRUE","TRUE","TRUE","7"
"9","268e7n76","2007","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","1359"
"10","268e9oo6","2011","FALSE","3","q5w4wmng","ne4d11em","qkr23j6e","TRUE","FALSE","TRUE","716"
"11","268ekxy6","2019","FALSE","4","qdnqkn8k","yz8013ew","3nk0vxrw","TRUE","TRUE","TRUE","2843"
"12","268erm76","2020","TRUE","1",NA,NA,NA,"TRUE","TRUE","FALSE","22"
"13","268ex4o6","2018","FALSE","3",NA,"myzo72eq","qkr2jne4","TRUE","TRUE","FALSE","869"
"14","268exwy6","2019","TRUE","8",NA,NA,NA,"TRUE","TRUE","FALSE","147"
"15","268ml5dp","1989","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","33"
"16","268n096p","2016","FALSE","4","wr2l1n7p","qleqypzw","8060dpnl","TRUE","TRUE","TRUE","306"
"17","268nj56p","2003","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","39"
"18","268q8o6p","2017","FALSE","2","wr2l8p57","ge0k43zp","krykz56v","TRUE","TRUE","TRUE","4681"
"19","268vgkdp","2003","FALSE","10",NA,NA,NA,"TRUE","TRUE","TRUE","448"
"20","268weko6","2021","TRUE","3","qdnqkn8k","nzmj17z0",NA,"TRUE","TRUE","TRUE","1747"
"21","268wlo6p","2014","FALSE","3","o75mg539","p6xm72z1","93nkpq6w","TRUE","TRUE","TRUE","547"
"22","268wv4k6","2022","TRUE","1","qdnqekn8","p6x95561","dnlm49rl","TRUE","TRUE","TRUE","197"
"23","268yl7dp","2017","FALSE","1",NA,NA,NA,"FALSE","TRUE","TRUE","51"
